task_id,inter_arrival,arrival,priority,execution_time,start_execution_time,end_execution_time,processor,gone_to_router,dropped
1,3,3,2,4.455789420142329,3,7.455789420142329,0,True,False
2,1,4,2,4.899149766043122,4,8.899149766043122,1,True,False
3,2,6,1,0.4566897539525837,7.455789420142329,7.912479174094913,0,True,False
4,3,9,1,4.962953037630245,9,13.962953037630246,0,True,False
5,2,11,0,10.523215381861213,11,21.523215381861213,1,True,False
6,0,11,2,3.405134550090139,13.962953037630246,17.368087587720385,0,True,False
7,2,13,2,2.639669040445937,17.368087587720385,20.007756628166323,0,True,False
8,2,15,2,3.873963557585295,20.007756628166323,23.881720185751618,0,True,False
9,0,15,2,2.469987810253102,21.523215381861213,23.993203192114315,1,True,False
10,1,16,2,2.532751727143772,23.881720185751618,26.41447191289539,0,True,False
11,0,16,2,1.712669680412857,23.993203192114315,25.705872872527173,1,True,False
12,1,17,2,5.114857191736398,25.705872872527173,30.82073006426357,1,True,False
13,3,20,1,1.5534242464603123,26.41447191289539,27.967896159355703,0,True,False
14,1,21,0,3.9255762998627883,27.967896159355703,31.893472459218493,0,True,False
15,0,21,2,1.2487577256168847,30.82073006426357,32.069487789880455,1,True,False
16,1,22,2,1.361836662268663,31.893472459218493,33.25530912148716,0,True,False
17,0,22,0,1.4437524353529663,32.069487789880455,33.513240225233424,1,True,False
18,2,24,0,4.054049609676832,33.25530912148716,37.30935873116399,0,True,False
19,0,24,1,0.8311252679760652,33.513240225233424,34.34436549320949,1,True,False
20,2,26,2,0.7430681845220098,34.34436549320949,35.0874336777315,1,True,False
21,0,26,0,8.572060583039761,35.0874336777315,43.659494260771254,1,True,False
22,0,26,1,3.670538360311009,37.30935873116399,40.979897091474996,0,True,False
23,0,26,2,3.939638301877081,40.979897091474996,44.91953539335208,0,True,False
24,0,26,2,1.3723417801424322,43.659494260771254,45.03183604091369,1,True,False
25,1,27,0,0.8752919950557942,44.91953539335208,45.794827388407874,0,True,False
26,1,28,2,7.014390937184231,45.03183604091369,52.04622697809792,1,True,False
27,0,28,2,11.614539134185197,45.794827388407874,57.409366522593075,0,True,False
28,0,28,2,4.4635043981130895,52.04622697809792,56.50973137621101,1,True,False
29,2,30,2,2.926801779714948,56.50973137621101,59.43653315592596,1,True,False
30,1,31,0,0.47212036230624543,57.409366522593075,57.88148688489932,0,True,False
31,1,32,2,0.2361005774225255,57.88148688489932,58.11758746232184,0,True,False
32,2,34,2,0.013462635227149125,58.11758746232184,58.13105009754899,0,True,False
33,0,34,1,6.255233083868379,58.13105009754899,64.38628318141737,0,True,False
34,0,34,2,5.2047699055317365,59.43653315592596,64.64130306145769,1,True,False
35,1,35,0,3.7415355265638386,64.38628318141737,68.1278187079812,0,True,False
36,2,37,0,4.110242354077819,64.64130306145769,68.7515454155355,1,True,False
37,0,37,2,2.1192799952369192,68.1278187079812,70.24709870321813,0,True,False
38,1,38,2,1.3024414460293556,68.7515454155355,70.05398686156485,1,True,False
39,2,40,1,1.6603448478194136,70.05398686156485,71.71433170938427,1,True,False
40,0,40,2,5.991345058470234,70.24709870321813,76.23844376168836,0,True,False
41,1,41,2,0.04676686816645453,71.71433170938427,71.76109857755073,1,True,False
42,0,41,2,4.329318986488333,71.76109857755073,76.09041756403906,1,True,False
43,0,41,2,1.5866939914720333,76.09041756403906,77.67711155551109,1,True,False
44,1,42,1,0.49381759113964036,,,,True,True
45,4,46,2,1.6740742829359645,76.23844376168836,77.91251804462432,0,True,False
46,1,47,1,7.030166765483256,77.67711155551109,84.70727832099435,1,True,False
47,1,48,2,2.3678793153218276,77.91251804462432,80.28039735994615,0,True,False
48,0,48,2,6.71710187637346,80.28039735994615,86.99749923631961,0,True,False
49,3,51,2,7.24402851533202,,,,True,True
50,2,53,0,12.966707490673164,84.70727832099435,97.6739858116675,1,True,False
51,2,55,2,16.777901249215915,,,,True,True
52,1,56,2,0.9962214244500347,,,,True,True
53,0,56,2,10.777088991416832,,,,True,True
54,0,56,2,0.22420383237872923,,,,True,True
55,1,57,2,6.75303027777599,86.99749923631961,93.7505295140956,0,True,False
56,2,59,2,5.506871664519859,93.7505295140956,99.25740117861547,0,True,False
57,0,59,2,7.974949217731792,97.6739858116675,105.6489350293993,1,True,False
58,3,62,2,3.9847055249832004,99.25740117861547,103.24210670359867,0,True,False
59,1,63,1,3.092767630793218,103.24210670359867,106.33487433439188,0,True,False
60,2,65,2,33.670309805814405,105.6489350293993,139.3192448352137,1,True,False
61,1,66,0,2.7705591229048596,106.33487433439188,109.10543345729674,0,True,False
62,0,66,1,2.8568024648018975,109.10543345729674,111.96223592209864,0,True,False
63,2,68,2,9.506629336407494,,,,True,True
64,1,69,2,4.025300856708322,111.96223592209864,115.98753677880697,0,True,False
65,0,69,2,0.36062788835350523,115.98753677880697,116.34816466716048,0,True,False
66,3,72,0,5.677600016798582,116.34816466716048,122.02576468395905,0,True,False
67,0,72,1,5.2236765524169115,122.02576468395905,127.24944123637596,0,True,False
68,1,73,1,7.490655576441224,127.24944123637596,134.74009681281717,0,True,False
69,0,73,2,2.245791389641015,134.74009681281717,136.9858882024582,0,True,False
70,2,75,0,5.557999365242432,,,,True,True
71,0,75,2,5.448125271379393,,,,True,True
72,2,77,1,9.167894087870765,136.9858882024582,146.15378229032896,0,True,False
73,2,79,1,13.498870445507801,139.3192448352137,152.8181152807215,1,True,False
74,0,79,2,4.8214032677664145,146.15378229032896,150.97518555809538,0,True,False
75,1,80,2,0.6772033157356053,150.97518555809538,151.65238887383097,0,True,False
76,1,81,2,2.142111402855698,151.65238887383097,153.79450027668668,0,True,False
77,2,83,2,4.368615280166994,,,,True,True
78,0,83,2,6.148269927048158,,,,True,True
79,0,83,2,2.66803489752429,,,,True,True
80,2,85,2,8.340175284279633,152.8181152807215,161.15829056500115,1,True,False
81,0,85,2,0.04827974836795261,,,,True,True
82,0,85,1,2.2889528852642953,,,,True,True
83,1,86,2,3.391109890110488,,,,True,True
84,0,86,1,0.36179970636476816,,,,True,True
85,1,87,2,3.5411410694019483,153.79450027668668,157.33564134608864,0,True,False
86,1,88,2,6.305034550635806,,,,True,True
87,1,89,2,10.075721578491684,,,,True,True
88,1,90,1,54.73939369740012,,,,True,True
89,1,91,0,4.4051975461558595,,,,True,True
90,3,94,0,9.484760074466234,157.33564134608864,166.82040142055487,0,True,False
91,2,96,2,0.2596958748234598,,,,True,True
92,2,98,0,8.565667030133298,161.15829056500115,169.72395759513444,1,True,False
93,0,98,2,11.547146873328728,,,,True,True
94,0,98,1,7.203074766368736,,,,True,True
95,0,98,1,11.918487325445817,,,,True,True
96,1,99,1,2.4846939723814523,,,,True,True
97,3,102,2,7.276713505652154,166.82040142055487,174.09711492620704,0,True,False
98,3,105,0,2.0651458049078406,169.72395759513444,171.78910340004228,1,True,False
99,0,105,0,5.739346482077303,,,,True,True
100,0,105,1,24.664142381081867,,,,True,True
101,0,105,2,0.014508248532120415,,,,True,True
102,0,105,2,0.6939012678831583,,,,True,True
103,0,105,0,0.5954565725271208,,,,True,True
104,3,108,2,3.8505481680829265,171.78910340004228,175.6396515681252,1,True,False
105,2,110,2,11.26337219744216,174.09711492620704,185.3604871236492,0,True,False
106,1,111,1,0.3250013030019524,175.6396515681252,175.96465287112716,1,True,False
107,0,111,2,7.723732028471666,,,,True,True
108,3,114,2,2.042280869618939,175.96465287112716,178.0069337407461,1,True,False
109,2,116,2,7.012527272431619,178.0069337407461,185.0194610131777,1,True,False
110,0,116,0,0.11458354424305325,,,,True,True
111,0,116,2,22.017947856920916,,,,True,True
112,0,116,2,1.0585008835141976,,,,True,True
113,2,118,2,0.5620863820365961,185.0194610131777,185.5815473952143,1,True,False
114,1,119,0,9.140189996535005,,,,True,True
115,1,120,2,0.9669319248615518,,,,True,True
116,2,122,0,3.389949678591762,,,,True,True
117,0,122,0,5.139055452936022,,,,True,True
118,0,122,2,0.48750041443565895,,,,True,True
119,2,124,2,5.941236527411444,185.3604871236492,191.30172365106063,0,True,False
120,0,124,1,10.437398696730664,,,,True,True
121,0,124,0,3.313467263053397,,,,True,True
122,1,125,2,0.22559832057591134,,,,True,True
123,0,125,2,11.512366812666597,,,,True,True
124,3,128,2,1.7424743978363921,185.5815473952143,187.3240217930507,1,True,False
125,0,128,0,9.402562853364216,,,,True,True
126,0,128,1,7.37874738597362,,,,True,True
127,1,129,1,5.600542697076069,,,,True,True
128,0,129,2,0.6994687371447482,,,,True,True
