task_id,inter_arrival,arrival,priority,execution_time,start_execution_time,end_execution_time,processor,gone_to_router,dropped
1,3,3,2,4.455789420142329,3,7.455789420142329,0,True,False
2,1,4,2,4.899149766043122,4,8.899149766043122,1,True,False
3,2,6,1,0.4566897539525837,7.455789420142329,7.912479174094913,0,True,False
4,3,9,1,4.962953037630245,9,13.962953037630246,0,True,False
5,2,11,0,10.523215381861213,11,21.523215381861213,1,True,False
6,0,11,2,3.405134550090139,13.962953037630246,17.368087587720385,0,True,False
7,2,13,2,2.639669040445937,17.368087587720385,20.007756628166323,0,True,False
8,2,15,2,3.873963557585295,21.561180874626636,25.43514443221193,0,True,False
9,0,15,2,2.469987810253102,43.366535382292454,45.836523192545556,0,True,False
10,1,16,2,2.532751727143772,43.697512748831244,46.23026447597502,1,True,False
11,0,16,2,1.712669680412857,45.836523192545556,47.549192872958415,0,True,False
12,1,17,2,5.114857191736398,46.23026447597502,51.34512166771142,1,True,False
13,3,20,1,1.5534242464603123,20.007756628166323,21.561180874626636,0,True,False
14,1,21,0,3.9255762998627883,21.523215381861213,25.448791681724003,1,True,False
15,0,21,2,1.2487577256168847,51.34512166771142,52.5938793933283,1,True,False
16,1,22,2,1.361836662268663,52.5938793933283,53.955716055596966,1,True,False
17,0,22,0,1.4437524353529663,25.43514443221193,26.878896867564897,0,True,False
18,2,24,0,4.054049609676832,25.448791681724003,29.502841291400834,1,True,False
19,0,24,1,0.8311252679760652,30.378133286456627,31.209258554432694,1,True,False
20,2,26,2,0.7430681845220098,54.57935963844167,55.32242782296368,0,True,False
21,0,26,0,8.572060583039761,26.878896867564897,35.45095745060466,0,True,False
22,0,26,1,3.670538360311009,31.68137891673894,35.35191727704995,1,True,False
23,0,26,2,3.939638301877081,55.32242782296368,59.262066124840764,0,True,False
24,0,26,2,1.3723417801424322,59.262066124840764,60.6344079049832,0,True,False
25,1,27,0,0.8752919950557942,29.502841291400834,30.378133286456627,1,True,False
26,1,28,2,7.014390937184231,60.6344079049832,67.64879884216742,0,True,False
27,0,28,2,11.614539134185197,70.74156647296064,82.35610560714584,0,True,False
28,0,28,2,4.4635043981130895,,,,True,False
29,2,30,2,2.926801779714948,,,,True,False
30,1,31,0,0.47212036230624543,31.209258554432694,31.68137891673894,1,True,False
31,1,32,2,0.2361005774225255,,,,True,False
32,2,34,2,0.013462635227149125,,,,True,False
33,0,34,1,6.255233083868379,35.45095745060466,41.70619053447304,0,True,False
34,0,34,2,5.2047699055317365,,,,True,False
35,1,35,0,3.7415355265638386,35.35191727704995,39.093452803613786,1,True,False
36,2,37,0,4.110242354077819,39.093452803613786,43.203695157691605,1,True,False
37,0,37,2,2.1192799952369192,,,,True,False
38,1,38,2,1.3024414460293556,,,,True,False
39,2,40,1,1.6603448478194136,41.70619053447304,43.366535382292454,0,True,False
40,0,40,2,5.991345058470234,,,,True,False
41,1,41,2,0.04676686816645453,,,,True,False
42,0,41,2,4.329318986488333,,,,True,True
43,0,41,2,1.5866939914720333,,,,True,True
44,1,42,1,0.49381759113964036,43.203695157691605,43.697512748831244,1,True,False
45,4,46,2,1.6740742829359645,,,,True,False
46,1,47,1,7.030166765483256,47.549192872958415,54.57935963844167,0,True,False
47,1,48,2,2.3678793153218276,,,,True,False
48,0,48,2,6.71710187637346,,,,True,False
49,3,51,2,7.24402851533202,,,,True,False
50,2,53,0,12.966707490673164,53.955716055596966,66.92242354627012,1,True,False
51,2,55,2,16.777901249215915,,,,True,False
52,1,56,2,0.9962214244500347,,,,True,False
53,0,56,2,10.777088991416832,,,,True,False
54,0,56,2,0.22420383237872923,,,,True,False
55,1,57,2,6.75303027777599,,,,True,True
56,2,59,2,5.506871664519859,,,,True,True
57,0,59,2,7.974949217731792,,,,True,True
58,3,62,2,3.9847055249832004,,,,True,False
59,1,63,1,3.092767630793218,67.64879884216742,70.74156647296064,0,True,False
60,2,65,2,33.670309805814405,,,,True,False
61,1,66,0,2.7705591229048596,66.92242354627012,69.69298266917498,1,True,False
62,0,66,1,2.8568024648018975,69.69298266917498,72.54978513397688,1,True,False
63,2,68,2,9.506629336407494,,,,True,True
64,1,69,2,4.025300856708322,,,,True,True
65,0,69,2,0.36062788835350523,,,,True,True
66,3,72,0,5.677600016798582,72.54978513397688,78.22738515077546,1,True,False
67,0,72,1,5.2236765524169115,82.35610560714584,87.57978215956274,0,True,False
68,1,73,1,7.490655576441224,83.7853845160179,91.27604009245913,1,True,False
69,0,73,2,2.245791389641015,,,,True,False
70,2,75,0,5.557999365242432,78.22738515077546,83.7853845160179,1,True,False
71,0,75,2,5.448125271379393,,,,True,True
72,2,77,1,9.167894087870765,87.57978215956274,96.7476762474335,0,True,False
73,2,79,1,13.498870445507801,96.7476762474335,110.24654669294131,0,True,False
74,0,79,2,4.8214032677664145,,,,True,True
75,1,80,2,0.6772033157356053,,,,True,True
76,1,81,2,2.142111402855698,,,,True,True
77,2,83,2,4.368615280166994,,,,True,True
78,0,83,2,6.148269927048158,,,,True,True
79,0,83,2,2.66803489752429,,,,True,True
80,2,85,2,8.340175284279633,,,,True,True
81,0,85,2,0.04827974836795261,,,,True,True
82,0,85,1,2.2889528852642953,114.32712131574165,116.61607420100594,1,True,False
83,1,86,2,3.391109890110488,,,,True,True
84,0,86,1,0.36179970636476816,116.73065774524899,117.09245745161375,1,True,False
85,1,87,2,3.5411410694019483,,,,True,True
86,1,88,2,6.305034550635806,,,,True,True
87,1,89,2,10.075721578491684,,,,True,True
88,1,90,1,54.73939369740012,117.09245745161375,171.83185114901386,1,True,False
89,1,91,0,4.4051975461558595,91.27604009245913,95.68123763861499,1,True,False
90,3,94,0,9.484760074466234,95.68123763861499,105.16599771308123,1,True,False
91,2,96,2,0.2596958748234598,,,,True,True
92,2,98,0,8.565667030133298,105.16599771308123,113.73166474321452,1,True,False
93,0,98,2,11.547146873328728,,,,True,True
94,0,98,1,7.203074766368736,118.05103897992646,125.25411374629519,0,True,False
95,0,98,1,11.918487325445817,192.38868850758334,204.30717583302916,0,True,False
96,1,99,1,2.4846939723814523,197.1314756926151,199.61616966499656,1,True,False
97,3,102,2,7.276713505652154,,,,True,True
98,3,105,0,2.0651458049078406,110.24654669294131,112.31169249784915,0,True,False
99,0,105,0,5.739346482077303,112.31169249784915,118.05103897992646,0,True,False
100,0,105,1,24.664142381081867,199.61616966499656,224.28031204607842,1,True,False
101,0,105,2,0.014508248532120415,,,,True,True
102,0,105,2,0.6939012678831583,,,,True,True
103,0,105,0,0.5954565725271208,113.73166474321452,114.32712131574165,1,True,False
104,3,108,2,3.8505481680829265,,,,True,True
105,2,110,2,11.26337219744216,,,,True,True
106,1,111,1,0.3250013030019524,204.30717583302916,204.63217713603112,0,True,False
107,0,111,2,7.723732028471666,,,,True,True
108,3,114,2,2.042280869618939,,,,True,True
109,2,116,2,7.012527272431619,,,,True,True
110,0,116,0,0.11458354424305325,116.61607420100594,116.73065774524899,1,True,False
111,0,116,2,22.017947856920916,,,,True,True
112,0,116,2,1.0585008835141976,,,,True,True
113,2,118,2,0.5620863820365961,,,,True,True
114,1,119,0,9.140189996535005,125.25411374629519,134.3943037428302,0,True,False
115,1,120,2,0.9669319248615518,,,,True,True
116,2,122,0,3.389949678591762,134.3943037428302,137.78425342142197,0,True,False
117,0,122,0,5.139055452936022,137.78425342142197,142.92330887435799,0,True,False
118,0,122,2,0.48750041443565895,,,,True,True
119,2,124,2,5.941236527411444,,,,True,True
120,0,124,1,10.437398696730664,204.63217713603112,215.06957583276179,0,True,False
121,0,124,0,3.313467263053397,142.92330887435799,146.23677613741137,0,True,False
122,1,125,2,0.22559832057591134,,,,True,True
123,0,125,2,11.512366812666597,,,,True,True
124,3,128,2,1.7424743978363921,,,,True,True
125,0,128,0,9.402562853364216,146.23677613741137,155.63933899077557,0,True,False
126,0,128,1,7.37874738597362,217.33028350485606,224.70903089082967,0,True,False
127,1,129,1,5.600542697076069,230.56053061257523,236.1610733096513,1,True,False
128,0,129,2,0.6994687371447482,,,,True,True
129,1,130,2,4.030814292952177,,,,True,True
130,1,131,2,1.1722274641756965,,,,True,True
131,1,132,1,1.3990436095760588,236.1610733096513,237.56011691922737,1,True,False
132,1,133,1,7.489580047935694,237.56011691922737,245.04969696716307,1,True,False
133,0,133,1,10.570807356361845,244.99625050913252,255.56705786549438,0,True,False
134,0,133,2,2.8345809987455546,,,,True,True
135,1,134,2,0.008210465532191114,,,,True,True
